step,com_x,com_y,bit_count
841,63.7368,78.7895,38
842,63.5000,63.7500,32
843,63.8500,85.9750,40
844,63.2727,49.3182,22
845,63.5714,68.2857,28
846,63.4211,58.7368,38
847,63.8667,87.0333,30
848,63.5455,66.6364,22
849,63.7727,81.0682,44
850,63.5789,68.7632,38
851,63.8148,83.7407,54
852,63.1250,39.9375,32
853,63.2727,49.3182,22
854,63.2273,46.4318,44
855,63.6667,74.3333,18
856,63.3846,56.4231,26
857,63.5000,63.7500,32
858,63.3810,56.1905,42
859,63.6471,73.0882,34
860,63.2273,46.4318,44
861,63.4211,58.7368,38
862,63.3889,56.6944,72
863,63.9444,91.9722,36
864,63.8000,82.8000,20
865,63.8667,87.0333,30
866,63.8500,85.9750,40
867,63.9167,90.2083,48
868,63.3750,55.8125,16
869,63.6667,74.3333,18
870,63.5714,68.2857,28
871,63.8462,85.7308,26
872,63.6154,71.0769,26
873,63.7727,81.0682,44
874,63.6190,71.3095,42
875,63.8800,87.8800,50
876,63.4286,59.2143,28
877,63.6471,73.0882,34
878,63.6071,70.5536,56
879,63.9167,90.2083,48
880,63.6875,75.6562,32
881,63.8148,83.7407,54
882,63.7333,78.5667,60
883,63.8148,83.7407,54
884,63.1250,39.9375,32
885,63.2000,44.7000,20
886,63.1500,41.5250,40
887,63.4000,57.4000,10
888,63.3846,56.4231,26
889,63.2727,49.3182,22
890,63.3158,52.0526,38
891,63.2500,47.8750,16
892,63.2273,46.4318,44
893,63.3125,51.8438,32
894,63.2667,48.9333,60
895,63.7500,79.6250,8
896,63.8000,82.8000,20
897,63.7500,79.6250,16
898,63.7857,81.8929,28
899,63.5000,63.7500,8
900,63.5000,63.7500,20
901,63.6250,71.6875,16
902,63.5714,68.2857,28
903,63.7143,77.3571,14
904,63.7368,78.7895,38
905,63.6154,71.0769,26
906,63.6800,75.1800,50
907,63.5000,63.7500,12
908,63.5000,63.7500,32
909,63.5714,68.2857,28
910,63.5417,66.3958,48
911,63.7500,79.6250,16
912,63.7727,81.0682,44
913,63.6875,75.6562,32
914,63.7333,78.5667,60
915,63.2857,50.1429,14
916,63.1765,43.2059,34
917,63.3846,56.4231,26
918,63.2609,48.5652,46
919,63.6250,71.6875,16
920,63.5000,63.7500,32
921,63.5000,63.7500,32
922,63.4583,61.1042,48
923,63.4545,60.8636,22
924,63.3200,52.3200,50
925,63.5600,67.5600,50
926,63.4359,59.6795,78
927,63.8889,88.4444,18
928,63.8667,87.0333,30
929,63.8947,88.8158,38
930,63.8800,87.8800,50
931,63.6000,70.1000,10
932,63.5455,66.6364,22
933,63.7273,78.1818,22
934,63.6471,73.0882,34
935,63.8000,82.8000,20
936,63.7727,81.0682,44
937,63.7222,77.8611,36
938,63.7333,78.5667,60
939,63.6667,74.3333,18
940,63.5789,68.7632,38
941,63.7391,78.9348,46
942,63.6667,74.3333,66
943,63.8462,85.7308,26
944,63.8148,83.7407,54
945,63.8148,83.7407,54
946,63.7333,78.5667,60
947,63.2857,50.1429,14
948,63.1250,39.9375,32
949,63.2727,49.3182,22
950,63.1053,38.6842,38
951,63.6250,71.6875,16
952,63.2727,49.3182,22
953,63.4286,59.2143,28
954,63.1333,40.4667,30
955,63.4545,60.8636,22
956,63.2273,46.4318,44
957,63.4211,58.7368,38
958,63.1200,39.6200,50
959,63.8889,88.4444,18
960,63.7500,79.6250,16
961,63.8462,85.7308,26
962,63.4000,57.4000,10
963,63.7143,77.3571,14
964,63.5000,63.7500,20
965,63.7273,78.1818,22
966,63.4545,60.8636,22
967,63.8750,87.5625,32
968,63.6154,71.0769,26
969,63.7727,81.0682,44
970,63.2727,49.3182,22
971,63.7273,78.1818,22
972,63.5000,63.7500,32
973,63.6842,75.4474,38
974,63.3529,54.4118,34
975,63.8947,88.8158,38
976,63.6875,75.6562,32
977,63.8148,83.7407,54
978,63.2000,44.7000,20
979,63.3750,55.8125,16
980,63.2632,48.7105,38
981,63.4286,59.2143,28
982,63.2273,46.4318,44
983,63.7273,78.1818,22
984,63.5000,63.7500,32
985,63.5789,68.7632,38
986,63.2778,49.6389,36
987,63.5714,68.2857,28
988,63.4516,60.6774,62
989,63.6071,70.5536,56
990,63.2667,48.9333,60
991,63.9286,90.9643,28
992,63.8947,88.8158,38
